"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Oops...we found an error preparing this test file: cypress/e2e/2-advanced-examples/traversal.cy.js","","2026-02-20","broken","2026-02-20","","cypress/e2e/2-advanced-examples/traversal.cy.js","",""
"","0","Oops...we found an error preparing this test file: cypress/e2e/2-advanced-examples/network_requests.cy.js","","2026-02-20","broken","2026-02-20","","cypress/e2e/2-advanced-examples/network_requests.cy.js","",""
"","0","Oops...we found an error preparing this test file: cypress/e2e/2-advanced-examples/utilities.cy.js","","2026-02-20","broken","2026-02-20","","cypress/e2e/2-advanced-examples/utilities.cy.js","",""
"","0","Oops...we found an error preparing this test file: cypress/e2e/2-advanced-examples/waiting.cy.js","","2026-02-20","broken","2026-02-20","","cypress/e2e/2-advanced-examples/waiting.cy.js","",""
"","0","Oops...we found an error preparing this test file: cypress/e2e/2-advanced-examples/cookies.cy.js","","2026-02-20","broken","2026-02-20","","cypress/e2e/2-advanced-examples/cookies.cy.js","",""
"","0","Oops...we found an error preparing this test file: cypress/e2e/2-advanced-examples/connectors.cy.js","","2026-02-20","broken","2026-02-20","","cypress/e2e/2-advanced-examples/connectors.cy.js","",""
"","0","Oops...we found an error preparing this test file: cypress/e2e/2-advanced-examples/window.cy.js","","2026-02-20","broken","2026-02-20","","cypress/e2e/2-advanced-examples/window.cy.js","",""
"","0","Oops...we found an error preparing this test file: cypress/e2e/itera/Login.cy.js","","2026-02-20","broken","2026-02-20","","cypress/e2e/itera/Login.cy.js","",""
"","0","Oops...we found an error preparing this test file: cypress/e2e/2-advanced-examples/assertions.cy.js","","2026-02-20","broken","2026-02-20","","cypress/e2e/2-advanced-examples/assertions.cy.js","",""
"","0","Oops...we found an error preparing this test file: cypress/e2e/2-advanced-examples/storage.cy.js","","2026-02-20","broken","2026-02-20","","cypress/e2e/2-advanced-examples/storage.cy.js","",""
"","1429","Search Dashboard","","2026-04-17","passed","2026-04-17","","Search Dashboard","",""
"","0","Oops...we found an error preparing this test file: cypress/e2e/2-advanced-examples/aliasing.cy.js","","2026-02-20","broken","2026-02-20","","cypress/e2e/2-advanced-examples/aliasing.cy.js","",""
"","1","Oops...we found an error preparing this test file: cypress/e2e/2-advanced-examples/viewport.cy.js","","2026-02-20","broken","2026-02-20","","cypress/e2e/2-advanced-examples/viewport.cy.js","",""
"","0","Oops...we found an error preparing this test file: cypress/e2e/2-advanced-examples/querying.cy.js","","2026-02-20","broken","2026-02-20","","cypress/e2e/2-advanced-examples/querying.cy.js","",""
"","1","Oops...we found an error preparing this test file: cypress/e2e/2-advanced-examples/cypress_api.cy.js","","2026-02-20","broken","2026-02-20","","cypress/e2e/2-advanced-examples/cypress_api.cy.js","",""
"","0","Oops...we found an error preparing this test file: cypress/e2e/2-advanced-examples/navigation.cy.js","","2026-02-20","broken","2026-02-20","","cypress/e2e/2-advanced-examples/navigation.cy.js","",""
"","2843","Signup Success","","2026-04-17","passed","2026-04-17","","Signup Itera","",""
"","0","Oops...we found an error preparing this test file: cypress/e2e/itera/Dashboard.cy.js","","2026-02-20","broken","2026-02-20","","cypress/e2e/itera/Dashboard.cy.js","",""
"","0","Oops...we found an error preparing this test file: cypress/e2e/2-advanced-examples/spies_stubs_clocks.cy.js","","2026-02-20","broken","2026-02-20","","cypress/e2e/2-advanced-examples/spies_stubs_clocks.cy.js","",""
"","1","Oops...we found an error preparing this test file: cypress/e2e/2-advanced-examples/actions.cy.js","","2026-02-20","broken","2026-02-20","","cypress/e2e/2-advanced-examples/actions.cy.js","",""
"","0","Oops...we found an error preparing this test file: cypress/e2e/1-getting-started/todo.cy.js","","2026-02-20","broken","2026-02-20","","cypress/e2e/1-getting-started/todo.cy.js","",""
"","2571","Success Login","","2026-04-17","passed","2026-04-17","","Login","",""
"","0","Oops...we found an error preparing this test file: cypress/e2e/itera/signup.cy.js","","2026-02-20","broken","2026-02-20","","cypress/e2e/itera/signup.cy.js","",""
"","0","Oops...we found an error preparing this test file: cypress/e2e/2-advanced-examples/misc.cy.js","","2026-02-20","broken","2026-02-20","","cypress/e2e/2-advanced-examples/misc.cy.js","",""
"","0","Oops...we found an error preparing this test file: cypress/e2e/2-advanced-examples/location.cy.js","","2026-02-20","broken","2026-02-20","","cypress/e2e/2-advanced-examples/location.cy.js","",""
"","0","Oops...we found an error preparing this test file: cypress/e2e/2-advanced-examples/files.cy.js","","2026-02-20","broken","2026-02-20","","cypress/e2e/2-advanced-examples/files.cy.js","",""
